Nome,Endereço,CEP,Cidade,Estado,País,lat,lng
Posto Jota W,R CORONEL PIRES PENTEADO 431,15910-000,Monte Alto,SP6,BR,-21.261969568848095,-48.493282503802995
Posto Tchê BR,"ROD BR 163, KM 324,5",79130-000,RIO BRILHANTE,MS1,BR,-21.770759170166638,-54.525972212034766
Posto Petrogama,AV PRESIDENTE VARGAS 3224,93265-226,ESTEIO,RS2,BR,-29.85823921549777,-51.178839579126084
Posto Morada Real ,AV.FERNANDO CORREA DA COSTA 8.200,78.085-70,Cuiabá,MT7,BR,-15.638526012482755,-56.04139275321257
Posto Morada Santa Marta ,AV. MIGUEL SUTIL 6692,78.043-69,Cuiabá,MT8,BR,-15.588979705990452,-56.117289716017495
Posto Morada II,AV.DR.VICENTE EMILIO VUOLO 200,78.015-28,Cuiabá,MT8,BR,-15.570043698961348,-56.05225987414262
Posto Morada Lava Pés,AV MIGUEL SUTIL,78015-100,Cuiabá,MT8,BR,-15.588984116957302,-56.11729249871024
Posto Quirino,R PAULO JOSE DE SANTANA 101,48400-000,Ribeira do Pombal,BA16,BR,-10.836785181632848,-38.5419752288207
Posto Trokar,R JOSE ANTONIO PEREIRA 260,79.002-40,Campo Grande,MS2,BR,-20.467985894128052,-54.606605572045986
Posto Trokar 4,"Av. Mal. Deodoro, 620",79092-000, Campo Grande,MS2,BR,-20.49223892028746,-54.649243074096425
Posto Trokar 3,"Av. Bandeirantes,1004",79006-000,Campo Grande,MS2,BR,-20.473329551856928,-54.63219804649645
Posto Trokar 2,"Av. Cel. Antonino,1836", 79033-00,Campo Grande,MS2,BR,-20.432677844293167,-54.59279161861872
Posto DM III,AV JOAO CELSO FILHO 1813,59650-000,ASSU,RN7,BR,-5.587191523254928,-36.90661120554925
Posto La Corunha,"RS-020, 390 - Parque Florido",94090-720,GRAVATAI,RS3,BR,-29.93033774661196,-51.063374547049456
Posto Zeus Itapetinga,AV IZAI DOS SANTOS AMORIM 540,45.700-00,ITAPETINGA,BA17,BR,-15.246278695265167,-40.257728115176036
Posto Cristo Rei,"-18.735080128579575, -44.36799522689315",39243-000,Inimutaba,MG13,BR,-18.73492596,-44.36825868
Posto Zeus Conquista,AV JURACY MAGALHAES. 3951,45026-090,VITÓRIA DA CONQUISTA,BA18,BR,-14.898129552067674,-40.844228920288494
Posto Dona Olivia,AV OLIVIA FLORES 671,45028-610,Vitória da Conquista,BA18,BR,-14.86016212301628,-40.82740583127919
Posto Certo,AV BARAO DO RIO BRANCO 3326 A,25680-270,Petropólis,RJ3,BR,-22.47724601823066,-43.17221917289711
Posto Fantoni Freire,R JOAQUIM GOMES PEREIRA 299,35590-084,Lagoa Da Prata,MG14,BR,-20.01778536542311,-45.540680048992904
Posto Nossa Senhora de Fátima,AV CALAMA 5658,76820-611,Porto Velho,RO,BR,-8.744479166406625,-63.86478173557103
Auto Posto Nossa Senhora de Fatima ll,"Avenida Lauro Sodre, 2350",76801-575,Porto Velho,RO,BR,-8.74274091411967,-63.903015104520236
Posto Seven 92,AV JOAO OSORIO,13870-251,SAO JOAO DA BOA VISTA,SP7,BR,-21.980538511645246,-46.796643549064044
Auto Posto Premium,AV CARLOS PEREIRA DE MELO nº 3603,69314-142,Boa Vista,RR,BR,2.8355340094556762,-60.72932488519772
Auto Posto Premium IV,AV RUI BARAUNA,69313-627,Boa Vista,RR,BR,2.848327146203993,-60.72435247669321
Auto Posto Premium VI,AV PRINCESA ISABEL n° 3922,69314-148,Boa Vista,RR,BR,2.831370617028549,-60.730985391071854
Auto Posto Premium V,ROD BR-174 n° 896,69310-600,Boa Vista,RR,BR,2.877675373630767,-60.6977857944566
Auto Posto Premium VII,R MANOEL FELIPE n° 888,69312-310,Boa Vista,RR,BR,2.812335625674964,-60.712321533401166
Posto Sande,AV CORONEL BENTO DE GODOY,75680-280,Caldas Novas,GO20,BR,-17.755453855347156,-48.63008483719018
Posto Leste,AV MINAS GERAIS n° 1597,35060-360,Governador Valadares,IMPLAN,BR,-18.846624229567738,-41.95155162223517
Auto Posto Gusa,"Estrada  das Lágrimas, 3766",04240-000,São Paulo ,IMPLAN,BR,-23.631337032572517,-46.585004673511186
Auto Posto Shallom,"Rodovia BR-010, S/N, KM 01 Av. Bernardo Sayão - Em Frente ao Terminal Rodoviário",68738-000,Santa Maria do Pará,IMPLAN,BR,-1.3448164628269033,-47.57869704086383
Posto Karaka,"BR-153, s/n  QUADRA S-16 LOTE 001E",74984-670,Aparecida de Goiânia,IMPLAN,BR,-16.791010779716334,-49.23839155053895
Posto 13,"R. 13, 673 ",74440-425,Goiânia,IMPLAN,BR,-16.66272275291365,-49.30303243493079
Posto Sete,"Av. T-63, 1898",74280-230,Goiânia,IMPLAN,BR,-16.7145977656696,-49.27729055286056
Posto Coolapa,"R. Noraldino Lima, 200",37950-000,São Sebastião do Paraíso,IMPLAN,BR,-20.914970562037237,-46.98074815701748
Posto Neópolis,"Alameda das Acácias, 1038 ",59080-560,Natal,IMPLAN,BR,-5.857664612335874,-35.2121234979321
Posto Irmão Areias,"R. Lino Ribeiro de Assis, 199",29380-000,Muniz Freire,IMPLAN,BR,-20.46339144337147,-41.41216062547384
Posto Seven Paraiso Oliveira Resende,"Av. Oliveira Rezende, 691",37950-000,São Sebastião do Paraíso,IMPLAN,BR,-20.914478707754984,-46.99854812312016
Auto Posto 17 ,"Praça do Cruzeiro, 211",37903-024, Passos ,IMPLAN,BR,-20.716919710853908,-46.62129474970553
Auto Posto Silva e Oliveira,"Av. Juca Stockler, 1768",37901-216,Passos,IMPLAN,BR,-20.739351313255984,-46.60247570434969
Posto Alfa,"Av. José Caetano de Andrade, 835",37902-325,Passos,IMPLAN,BR,-20.730049414543164,-46.61565614778693
Posto Presidente,"Av. Brasília, 3017-2847 -QUADRA 1 LOTE 001",76550-000,Porangatu,IMPLAN,BR,-13.451500120073616,-49.13574172418761
Posto Gurguéia,"Av. Manoel Ribeiro da Fonseca, 3896",64840-000,Guadalupe,IMPLAN,BR,-6.8110471394345895,-43.575609565246296
Posto Seven Wenceslau,"Av. Wenceslau Braz, 1276",37950-000,São Sebastião do Paraíso,IMPLAN,BR,-20.920486055632136,-46.97627051657982
Posto Conquista,"R. José Demétrio Coelho, 1946",35557-000,Carmo do Cajuru,IMPLAN,BR,-20.19350200610385,-44.7626117775943
Posto Rio da Prata,"Rua Rio da Prata, S/N",76100-000,São Luís de Montes Belos,GO21,BR,-16.507646915014536,-50.36958556206099
Posto Mercado do Bosque,AVENIDA NACOES UNIDAS,69900-715,RIO BRANCO,AC8,BR,-9.96470724554969,-67.81236386690769
Posto Mercado do Bosque - Corrente,RODOVIA BR-364 (RIO BRANCO-PORTO VELHO),69908-768,RIO BRANCO,AC8,BR,-10.011905182586041,-67.79659136576151
Baratão Lumbrificantes,AVENIDA BRASIL 1569,83820-065,Fazenda Rio Grande,PROL04,BR,-25.644866214816954,-49.305832252339584
Ponto do Óleo 3,TV BELGICA,83823-012,Fazenda Rio Grande,PROL04,BR,-25.64915035621871,-49.30825211534287
Auto Posto Shopping,AV APOLONIO SALES 540,38020-430,Uberaba,MG16,BR,-19.765472610957048,-47.94752384247374
Auto Posto Morada,"Avenida Dona Maria de S Borges, 1728",38055-000,Uberaba,MG17,BR,-19.74891370768448,-47.97566676141178
Posto Centenário,AV CENTENARIO Nº 2726,40155-150,SALVADOR,BA20,BR,-13.004467670978883,-38.52354129080609
Posto Cab,AV ULYSSES GUIMARAES,41213-000,Salvador,BA21,BR,-12.939885093677258,-38.431459813217614
Posto São Pedro,"Avenida Moacir Paleta, 307",35020-360,Governador Valadares,MG18,BR,-18.842364643645578,-41.926021383600855
Posto Cidade Verde 2,"Rua Antonio Gouveia Neto, 1065",59215-000,Nova Cruz,RN10,BR,-6.469800256609954,-35.43040123155255
Posto CotraOeste,"Servidão Odila Maggione, R. João Tormem, 127 E",89810-414,Chapecó,SC5,BR,-27.05240140141239,-52.63782468441417
Posto Ouro Negro Colina,"Avenida Samuel Batista Cruz, 2319",29901-401,Linhares,ES11,BR,-19.390784886265365,-40.06774184282757
Auto Posto Jabuti,"Avenida Perimetral Norte, Número 5461",75528-285,Itumbiara,GO23,BR,-18.397823521743476,-49.24017385538648
Posto M Ribeiro,Q QSE 19 lt 02,72.025-19,Brasília,DF9,BR,-15.858902317531479,-48.0461899256771
Auto Posto Marlim,Q 02 Conj. PLL-R St. Norte,72430-200,Brasília,DF9,BR,-15.999110964212964,-48.060905871930686
Posto Poa,AV LOUREIRO DA SILVA,90050-240,Porto Alegre,RS5,BR,-30.036717567864677,-51.22591850741775
Posto Alicafe,AV PROTASIO ALVES,91260-000,Porto Alegre,RS5,BR,-30.04686461758206,-51.09094621212715
Posto Patroa,"Avenida Go 118, 144",73840-000,Campos Belos,GO24,BR,-13.040720126993405,-46.764638501846875
Posto Glória,AVENIDA MINISTRO SALGADO FILHO,29106-010,Vila Velha,ES12,BR,-20.340553536255673,-40.305940057487156
Posto Auto Shopping JK,AV JK Nº 600,35.790-00,Curvelo,MG19,BR,-18.747870850258654,-44.42272392879042
Posto São Lucas Iati,"Avenida Sete de Setembro, SN",55345-000,Iati,PE4,BR,-9.037994936491138,-36.85074986606279
Posto Ipe Amarelo 3,"Praca Presidente Vargas, 1",35557-000,Carmo do Cajuru,MG20,BR,-20.18385051121343,-44.77646153656959
Posto Ipe Amarelo,"Rodovia Mg-129, SN",35903-031,Itabira,MG21,BR,-19.702931850239118,-43.319721495584105
Posto Mochuara,ROD GOVERNADOR MARIO COVAS,29.148-01,CARIACICA,ES14,BR,-20.338336557479145,-40.402824911524924
Posto São Francisco Dezan,V MARIO GURGEL 5913,29.145-40,Cariacica,ES14,BR,-20.34382884533139,-40.405890433151235
Posto Planalto 01,"Avenida Henrry Wall de Carvalho, 4545",64022-050,Teresina,PI01,BR,-5.12700810514751,-42.79748099994666
Posto Petroléo II,AV JOSE DOS SANTOS E SILVA 4453,64.018-57,TERESINA,PI01,BR,-5.096409533074819,-42.80206937190417
Posto Vida,AV FERDINAND FREITAS 4474,64078-635,Teresina,PI01,BR,-5.105631325835845,-42.75148785733546
Posto Valério,AV PADRE FRANCISCO QDA. 057 - LOTE 0189,29.785-00,Vila Valério,ES15,BR,-18.99847367020972,-40.3888392164679
Posto Dinis,"Avenida Governadr Roberto Silveira, 308",28360-000,Bom Jesus Doitabapoana,RJ4,BR,-21.137454049567996,-41.674315152412994
Posto Varotto, AV PRESIDENTE GETULIO VARGAS 749,87.900-00,LOANDA,PR14,BR,-22.9315222653716,-53.12834822684614
Posto Rede Mais,Av. Minas Gerais - KM 690,36272-000,Alfredo Vasconcelos,MG22,BR,-21.1472493181332,-43.76513846603799
Posto Azurita,ROD MG 050 - Nossa Senhora de Lourds,35.670-00,MATEUS LEME,MG23,BR,-20.012742962202577,-44.479010130524344
Posto Azeredo,RUA GONCALVES CHAVES 119,96015-560,Pelotas,RS6,BR,-31.761769477052678,-52.33570338274997
Auto Posto Perola,"Rua 17, Quadra 49, Conjunto B, Lote 02",72911-193,Águas Lindas de Goiás,GO26,BR,-15.74449624366174,-48.2636381055997
Posto Eldorado,"R. 7, QUADRA01 LOTE 18 19 E 20",76550-000,Porangatu,MG24,BR,-13.441289087211622,-49.1333837208355
Posto Veloce,AV ANITA GARIBALDI 2601,822100000,Curitiba,PR15,BR,-25.390285524078102,-49.2609127196145
Posto Morada Despraiado,R. OSVALDO DA SILVA CORREA 257,78.048-00,CUIABA,MT10,BR,-15.569638464063555,-56.09664369673567
Posto Seven 94,ROD DEPUTADO NAGIB CHAIB,13807-684,MOGI MIRIM,SP9,BR,-22.41670023484759,-46.95454447213669
Posto Rayner,AV MARECHAL CASTELO BRANCO,73700-000,Padre Bernardo,GO27,BR,-15.172518211904308,-48.2850273712925
Auto Posto Rios Batista,"Estrada Martins Guimaraes, 190",12221-520,Sao Jose dos Campos,SP10,BR,-23.171744121952376,-45.840088870206905
Posto São Judas Tadeu ll,AV JOAQUIM TIMOTEO DE PAULA 149,75860-000,QUIRINOPOLIS,GO28,BR,-18.4472483564044,-50.447836009878
Posto Emboava Rui Barbosa,AV RUI BARBOSA 665,78.075-20,Cuiabá,MT11,BR,-15.61203475140926,-56.03536577198999
Posto Santos Dumont,"Rua Sete de Setembro, 202",13.801-35,Mogi Mirim,SP11,BR,-22.44220371121606,-46.95592198544947
Auto Posto Avenida Crato,"Avenida Padre Cicero, 9710",63133-830,Crato,CE04,BR,-7.22858428689352,-39.36323181803053
Posto Aliança,R ASSIS CHATEUBRIAND Nº 1385,59215-000,Nova Cruz,RN12,BR,-6.4845653442309255,-35.430077493933844
Posto Top Cariri,"Avenida Deputado Leao Sampaio, 1707",63180-000,Barbalha,CE05,BR,-7.298567533673933,-39.31394853337101
Posto Leão II,"Rua Dom Pedro Ii, 1678",78710-786,Rondonópolis,MT13,BR,-16.46087014734006,-54.63502301158017
Posto Cirilo,"Rua Otavio Pitaluga, 252, Quadra9 Lote 18, 19",78725-420,Rondonópolis,MT14,BR,-16.444145942223876,-54.61709393786201
Posto Tucano,"ROD GO-330 KM 93,6",75780-000,IPAMERI,GO30,BR,-17.753500248704224,-48.16200775212311
Posto Russo,R ACACIO MANOEL DA SILVA VIANA 400,18550-000,BOITUVA,SP12,BR,-23.283056319728644,-47.66050901573797
Posto Sul Brasil,"AV ANTONIO VILENA, QUADRA 06",68.501-13,Marabá,PA01,BR,-5.393498992507836,-49.134680108358936
Posto Dragão do Mar,AV PESSOA ANTA,060060188,Fortaleza,CE06,BR,-3.720468864048597,-38.5229141613715
Posto Urucutuba,Rua Urucutuba 1710,60544-311,Fortaleza,CE06,BR,-3.797904013241209,-38.611483393254275
Posto São Cristovão,AV ANASTACIO BRAGA 4445,62.501-04,ITAPIPOCA,CE4,BR,-3.487620868605517,-39.61066169424513
Posto São Cristovão II,"Av. José do Patrocínio, 1629",62500-000, Itapipoca,CE4,BR,-3.4923192749582994,-39.57625217733394
Posto Novo Seguro,AV DOM JOAO BECKER 838,93010-010,Sao Leopoldo,RS7,BR,-29.76129268895555,-51.15008404145493
Posto Bom Conselho,"Ao lado do Auto Posto Bom Conselho - Av. Jaru, 2809 - St. 05",76870-665,Ariquemes,RO2,BR,-9.904226913043678,-63.03965849000128
Auto Posto Águia 1,"R. do Progresso, 96",65272-000,Santa Luzia do Paruá,MA1,BR,-2.5387992013043323,-45.776502373659646
Auto Posto Águia 2,AV JEFFERSON MESQUITA LEMOS,65272-000,SANTA LUZIA DO PARUA,MA1,BR,-2.5174242494339203,-45.78217057124304
Posto Pré-Sal 3,AV IDELFONSO MOREIRA NÚMERO 01,65420-000,TIMBIRAS,MA3,BR,-4.2556398345074715,-43.93809299916678
Posto Pré-Sal 2,"Av. Santos Dumont, Tv. Santa Teresinha 444",65400-000,Codó,MA4,BR,-4.485359707480391,-43.892497864152865
Posto Caçulinha 01,R MARECHAL RONDON - MARGEM DA RODOVIA BR 423,55297-100,GARANHUNS,PE5,BR,-8.87334097575074,-36.469267311553516
Posto Caçulinha 02,"ROD BR 423 - KM 94,4",55297-130,GARANHUNS,PE5,BR,-8.878642244912717,-36.476889350117354
Posto Caçulinha 04,R LUIZ BURGO Nº 2194,55292-260, Garanhuns,PE5,BR,-8.905968063934509,-36.498073333130826
Posto Caçulinha 05,RODOVIA PE 177 - KM 100,55435-000,São João,PE5,BR,-8.87026459477965,-36.36661325544158
Posto Caçulinha 06,"R. São Vicente, S/N",55295-590,Garanhuns,PE5,BR,-8.881980652784218,-36.4903639171963
Posto Panambi,RUA SANTOS DUMONT,85900-010,Toledo,PR16,BR,-24.724042014459723,-53.74220062506025
Posto Rede Sul,EST FEDERAL BR 116 - KM 318,96790-000,Barra do Ribeiro,RS8,BR,-30.27935514832017,-51.41204107381945
Auto Posto Rodão,"Av. Juscelino Kubitscheck, 1284-1350",77350-000,Combinado,TO4,BR,-12.81617656929019,-46.54728085747075
Posto Aguas Lindas,"Quadra 7, Lote 33A",72910-000,Aguas Lindas,GO35,BR,-15.764609835936618,-48.2676122226367
Posto Providência,Travessa We- 10 -A  CONJ CIDADE NOVA I COM A RUA DO FIO,67130-110,Ananindeua ,PA02,BR,-1.371674565576355,-48.40842121007585
Posto Providência Prime,R PROVIDENCIA Nº 65 LOTE TOKIO,67015-260,Ananindeua ,PA02,BR,-1.3613364334672582,-48.41037624660923
Auto Posto Guajará,"Estr. do Maguari, 377",67145-200,Ananindeua,PA02,BR,-1.3478434482475177,-48.3839215228314
Posto Shallom,RODOVIA PE-180 KM 65,55370-000,São Bento do Una,PA5,BR,-8.504742195680882,-36.442938640163476
Auto Posto Conquista,"R. Maj. Evaristo Frauzino, 259",75650-000, Morrinhos,GO36,BR,-17.737286912438748,-49.109239998641506
Posto Parada Ibiraçu,"Rod. Governador Mário Covas, 720 ",29670-000,Ibiraçu,ES18,BR,-19.832137173840138,-40.379487976855955
Posto Boa Viagem Petrovia Crateús,"R. José Albano, 1237",63700-000,Crateús,CE7,BR,-5.185818590171054,-40.672492723977626
Posto Estrela de Avaré,"R. Santa Catarina, 1720 ",18700-005, Avaré,SP13,BR,-23.096761508706255,-48.92204953097307
Posto Menegatti Trevo,"Via Lateral Alfredo Luiz de Bortoli, 6655",85501-414, Pato Branco,PR17,BR,-26.220570821112872,-52.68264130323465
Posto Menegatti Brusque,"Rod. Ivo Silveira, 7211 - Km 07 ",88355-202,Brusque,SC6,BR,-27.024090356631334,-48.883758850355576
Posto do Lírio,Av. José Manoel Reis KM 164,88200-000, Tijucas ,SC7,BR,-27.234697149533826,-48.63081885278126
Posto Avião,"BR-101, km 158 - sentido sul KM 158",88210-000,Porto Belo,SC8,BR,-27.193872256920162,-48.61359985485455
Auto Posto Litoral,"Rod. Governador Mário Covas, 3292",88490-000,Paulo Lopes,SC9,BR,-27.956901345436968,-48.67724568621128
Posto Gui,Av. Paulo Maia Nº 1701,63024-685,Juazeiro do Norte,CE8 ,BR,-7.2194994569365765,-39.3418719302214
Posto Petrovia,Quadra 77 LOTE 05,72900-178,Santo Antônio do Descoberto,GO39,BR,-15.9419548,-48.2608558
Auto Posto Beatriz,"Avenida Goiás, Quadra 20, Lote 01",72900-370,Santo Antônio do Descoberto,GO39,BR,-15.942819467191502,-48.258215857671715
Auto Posto Anita,"RUA 16, Quadra 34, Lote 1",72900-001,Santo Antônio do Descoberto,GO39,BR,-15.744545855254355,-48.263682306061824
Posto Park XIII,Avenida Santo Antônio Quadra 17 Lote 01,72901-568,Santo Antônio do Descoberto,GO39,BR,-15.93198219177138,-48.29457115320535
Auto Posto California,"AV. ANITA GARIBALDI, 1805",82200-530,CURITIBA,PR18,BR,-25.395674924188434,-49.256830553971376
